id, count34
1 , 2
2 , 35
3 , 14
4 , 30
5 , 7
6 , 102
7 , 80
8 , 182
9 , 92
10 , 721
11 , 0
12 , 0
13 , 0
14 , 0
15 , 0
16 , 0
17 , 185
18 , 315
19 , 4385
20 , 2968
21 , 59
22 , 933
23 , 168
24 , 268
25 , 898
26 , 62061
27 , 48195
28 , 443
29 , 2811
30 , 2816
31 , 2855
32 , 2860
33 , 49
34 , 561
35 , 526
36 , 481
37 , 223
38 , 239
39 , 856
40 , 22
41 , 195
42 , 0
43 , 0
44 , 0
45 , 107
46 , 0
47 , 2
48 , 399
49 , 218
50 , 37
51 , 344
52 , 264
53 , 242
54 , 590
55 , 45
56 , 1
57 , 341
58 , 89
59 , 0
60 , 627
61 , 4301
62 , 332
63 , 94710
64 , 218
65 , 51
66 , 58
67 , 31128
68 , 49751
69 , 2292
70 , 0
71 , 541
72 , 1804
73 , 0
74 , 1319
75 , 0
76 , 575
77 , 328
78 , 493
79 , 401
80 , 24799
81 , 83078
82 , 56280
83 , 40887
84 , 3334
85 , 3424
86 , 3252
87 , 595
88 , 4386
89 , 0
90 , 1512
91 , 2722
92 , 1684
93 , 697
94 , 564
95 , 2992
96 , 2059
97 , 1058
98 , 1582
99 , 1560
100 , 0
101 , 53
102 , 0
103 , 37
104 , 20
105 , 33
106 , 57
107 , 0
108 , 68
109 , 52
110 , 38
111 , 32
112 , 4
113 , 5
114 , 12
115 , 56
116 , 0
117 , 0
118 , 0
119 , 76
120 , 12
121 , 3
122 , 24
123 , 86
124 , 68
125 , 72
126 , 7
127 , 21
128 , 7
129 , 11
130 , 17
131 , 70
132 , 0
133 , 8
134 , 8
135 , 289
136 , 24
137 , 0
138 , 0
139 , 0
140 , 0
141 , 0
142 , 0
143 , 0
144 , 0
145 , 0
146 , 0
147 , 9933
148 , 10076
149 , 1935
150 , 0
151 , 1227
152 , 1155
153 , 907
154 , 1076
155 , 740
156 , 608
157 , 497
158 , 30
159 , 29
160 , 314
161 , 293
162 , 399
163 , 478
164 , 64
165 , 7107
166 , 8810
167 , 8362
168 , 129
169 , 39
170 , 15781
171 , 1850
172 , 1182
173 , 15964
174 , 20703
175 , 13602
176 , 4608
177 , 1991
178 , 495
179 , 383
180 , 382
181 , 16
182 , 69
183 , 1781
184 , 3030
185 , 719
186 , 221
187 , 0
188 , 1775
189 , 1235
190 , 241
191 , 208
192 , 1637
193 , 383
194 , 288
195 , 1239
196 , 4867
197 , 2636
198 , 1484
199 , 302
200 , 51
201 , 4063
202 , 2266
203 , 670
204 , 420
205 , 241
206 , 15
207 , 1817
208 , 2347
209 , 128
210 , 9408
211 , 6295
212 , 3597
213 , 996
214 , 64
215 , 10121
216 , 851
217 , 822
218 , 11
219 , 6
220 , 1
221 , 53
222 , 51
223 , 63
224 , 23
225 , 3
226 , 8
227 , 43
228 , 30
229 , 3
230 , 51
231 , 39
232 , 37
233 , 1
234 , 6
235 , 6
236 , 1
237 , 13
238 , 38
239 , 47
240 , 66
241 , 30
242 , 76
243 , 0
244 , 0
245 , 0
246 , 65
247 , 96
248 , 0
249 , 2
250 , 0
251 , 108
252 , 0
253 , 32
254 , 1709
255 , 17
256 , 0
257 , 0
258 , 21
259 , 0
260 , 5
261 , 16
262 , 9
263 , 541
264 , 582
265 , 175
266 , 7
267 , 0
268 , 23
269 , 84
270 , 6611
271 , 6481
272 , 0
273 , 1270
274 , 118
275 , 0
276 , 0
277 , 0
278 , 272
279 , 0
280 , 0
281 , 1
282 , 97
283 , 8709
284 , 6
285 , 2530
286 , 340
287 , 2246
288 , 1556
289 , 5
290 , 9
291 , 20
292 , 7
293 , 0
294 , 3530
295 , 868
296 , 176
297 , 459
298 , 316
299 , 22378
300 , 325
301 , 0
302 , 2522
303 , 1625
304 , 1018
305 , 3651
306 , 22235
307 , 1392
308 , 1780
309 , 0
310 , 0
311 , 0
312 , 0
313 , 0
314 , 0
315 , 537
316 , 37
317 , 13
318 , 695
319 , 1
320 , 1671
321 , 1964
322 , 1863
323 , 1864
324 , 1677
325 , 1963
326 , 230
327 , 195
328 , 101
329 , 146
330 , 146
331 , 89
332 , 2569
333 , 1899
334 , 1896
335 , 789
336 , 498
337 , 198
338 , 795
339 , 2622
340 , 1174
341 , 3068
342 , 2085
343 , 129
344 , 11
345 , 3075
346 , 121
347 , 976
348 , 3356
349 , 183
350 , 3068
351 , 24088
352 , 301
353 , 14496
354 , 1715
355 , 16566
356 , 4277
357 , 302
358 , 181
359 , 21072
360 , 26
361 , 572
362 , 9218
363 , 2696
364 , 2180
365 , 2089
366 , 425
367 , 842
368 , 3100
369 , 13729
370 , 17782
371 , 295
372 , 1
373 , 2
374 , 0
375 , 0
376 , 0
377 , 0
378 , 0
379 , 0
380 , 0
381 , 0
382 , 0
383 , 0
384 , 0
385 , 0
386 , 0
387 , 0
388 , 0
389 , 0
390 , 0
391 , 0
392 , 0
393 , 24
394 , 1956
395 , 1513
396 , 32
397 , 581
398 , 0
399 , 9168
400 , 533
401 , 805
402 , 1629
403 , 5828
404 , 805
405 , 786
406 , 973
407 , 1250
408 , 12
409 , 440
410 , 284
411 , 1414
412 , 828
413 , 0
414 , 2416
415 , 5973
416 , 17048
417 , 15595
418 , 40533
419 , 26564
420 , 14063
421 , 3500
422 , 18876
423 , 24788
424 , 907
425 , 37429
426 , 141863
427 , 49777
428 , 8
429 , 2
430 , 21
431 , 21
432 , 8
433 , 0
434 , 0
435 , 0
436 , 225
437 , 14617
438 , 2178
439 , 6432
440 , 5108
441 , 5099
442 , 5097
443 , 7
444 , 3637
445 , 164
446 , 9514
447 , 2665
448 , 23
449 , 23
450 , 28007
451 , 1803
452 , 4
453 , 68
454 , 32
455 , 24
456 , 43
457 , 3
458 , 3
459 , 0
460 , 0
461 , 0
462 , 587
463 , 587
464 , 592
465 , 37
466 , 2
467 , 592
468 , 3
469 , 32
470 , 589
471 , 587
472 , 592
473 , 589
474 , 0
475 , 0
476 , 0
477 , 0
478 , 0
479 , 0
480 , 0
481 , 0
482 , 0
483 , 0
