id, property
116 , http://dbpedia.org/ontology/AutomobileEngine/powerOutput
117 , http://dbpedia.org/ontology/AutomobileEngine/topSpeed
118 , http://dbpedia.org/ontology/AutomobileEngine/torqueOutput
119 , http://dbpedia.org/ontology/AutomobileEngine/valvetrain
120 , http://dbpedia.org/ontology/AutomobileEngine/weight
121 , http://dbpedia.org/ontology/AutomobileEngine/width
122 , http://dbpedia.org/ontology/AutomobilePlatform/assembly
123 , http://dbpedia.org/ontology/AutomobilePlatform/bodyStyle
124 , http://dbpedia.org/ontology/AutomobilePlatform/class
125 , http://dbpedia.org/ontology/AutomobilePlatform/engine
126 , http://dbpedia.org/ontology/AutomobilePlatform/height
127 , http://dbpedia.org/ontology/AutomobilePlatform/layout
128 , http://dbpedia.org/ontology/AutomobilePlatform/length
129 , http://dbpedia.org/ontology/AutomobilePlatform/relatedAutomobilePlatform
130 , http://dbpedia.org/ontology/AutomobilePlatform/transmission
131 , http://dbpedia.org/ontology/AutomobilePlatform/vehicle
132 , http://dbpedia.org/ontology/AutomobilePlatform/weight
133 , http://dbpedia.org/ontology/AutomobilePlatform/wheelbase
134 , http://dbpedia.org/ontology/AutomobilePlatform/width
135 , http://dbpedia.org/ontology/Award/country
136 , http://dbpedia.org/ontology/BadmintonPlayer/coach
137 , http://dbpedia.org/ontology/BadmintonPlayer/event
138 , http://dbpedia.org/ontology/Band/associatedBand
139 , http://dbpedia.org/ontology/Band/associatedMusicalArtist
140 , http://dbpedia.org/ontology/Band/background
141 , http://dbpedia.org/ontology/Band/currentMember
142 , http://dbpedia.org/ontology/Band/instrument
143 , http://dbpedia.org/ontology/Band/label
144 , http://dbpedia.org/ontology/Band/pastMember
145 , http://dbpedia.org/ontology/Band/voiceType
146 , http://dbpedia.org/ontology/BaseballPlayer/bats
147 , http://dbpedia.org/ontology/BaseballPlayer/statisticLabel
148 , http://dbpedia.org/ontology/BaseballPlayer/statisticValue
149 , http://dbpedia.org/ontology/BaseballPlayer/statisticYear
150 , http://dbpedia.org/ontology/BaseballPlayer/throws
151 , http://dbpedia.org/ontology/BasketballPlayer/college
152 , http://dbpedia.org/ontology/BasketballPlayer/draft
153 , http://dbpedia.org/ontology/BasketballPlayer/draftTeam
154 , http://dbpedia.org/ontology/BasketballPlayer/draftYear
155 , http://dbpedia.org/ontology/BasketballPlayer/highschool
156 , http://dbpedia.org/ontology/BasketballPlayer/league
157 , http://dbpedia.org/ontology/BasketballPlayer/number
158 , http://dbpedia.org/ontology/Beverage/discontinued
159 , http://dbpedia.org/ontology/Beverage/distributor
160 , http://dbpedia.org/ontology/Beverage/introduced
161 , http://dbpedia.org/ontology/Beverage/manufacturer
162 , http://dbpedia.org/ontology/Beverage/origin
163 , http://dbpedia.org/ontology/Beverage/related
164 , http://dbpedia.org/ontology/Beverage/variant
165 , http://dbpedia.org/ontology/BodyOfWater/city
166 , http://dbpedia.org/ontology/BodyOfWater/country
167 , http://dbpedia.org/ontology/BodyOfWater/district
168 , http://dbpedia.org/ontology/BodyOfWater/region
169 , http://dbpedia.org/ontology/BodyOfWater/state
170 , http://dbpedia.org/ontology/Book/country
171 , http://dbpedia.org/ontology/Book/coverArtist
172 , http://dbpedia.org/ontology/Book/illustrator
173 , http://dbpedia.org/ontology/Book/isbn
174 , http://dbpedia.org/ontology/Book/mediaType
175 , http://dbpedia.org/ontology/Book/pages
176 , http://dbpedia.org/ontology/Book/series
177 , http://dbpedia.org/ontology/Book/subject
178 , http://dbpedia.org/ontology/Book/translator
179 , http://dbpedia.org/ontology/Brain/brainInfoNumber
180 , http://dbpedia.org/ontology/Brain/brainInfoType
181 , http://dbpedia.org/ontology/Brain/component
182 , http://dbpedia.org/ontology/Brain/isPartOf
183 , http://dbpedia.org/ontology/Bridge/crosses
