dbo:computingPlatform,dbo:isPartOf,dbo:VideoGame,dbo:VideoGame,dbo:Software,,,,
dbo:province,dbo:city,dbo:Settlement,dbo:City,dbo:Place,,dbo:Province,dbo:City,
dbo:birthPlace,dbo:deathPlace,dbo:Royalty,dbo:BritishRoyalty,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:locationCountry,dbo:country,,dbo:TelevisionStation,,,dbo:Country,dbo:Country,
dbo:isPartOf,dbo:province,,dbo:City,,dbo:Place,,dbo:Province,
dbo:musicalArtist,dbo:producer,dbo:Single,dbo:Single,dbo:Single,dbo:Work,dbo:MusicalArtist,dbo:Agent,
dbo:parent,dbo:predecessor,dbo:Monarch,dbo:BritishRoyalty,dbo:Person,,dbo:Person,,
dbo:musicalBand,dbo:producer,dbo:Single,dbo:Single,dbo:Single,dbo:Work,dbo:Band,dbo:Agent,
dbo:producer,dbo:musicalBand,dbo:Single,dbo:Single,dbo:Work,dbo:Single,dbo:Agent,dbo:Band,
dbo:producer,dbo:musicalArtist,dbo:Single,dbo:Single,dbo:Work,dbo:Single,dbo:Agent,dbo:MusicalArtist,
dbo:writer,dbo:musicalBand,dbo:Single,dbo:Single,dbo:Work,dbo:Single,dbo:Person,dbo:Band,
dbo:writer,dbo:musicalArtist,dbo:Single,dbo:Single,dbo:Work,dbo:Single,dbo:Person,dbo:MusicalArtist,
dbo:director,dbo:writer,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:Person,
dbo:isPartOf,dbo:region,,dbo:City,,,,dbo:Place,
dbo:draftTeam,dbo:team,dbo:BasketballPlayer,dbo:BasketballPlayer,dbo:Athlete,,dbo:SportsTeam,dbo:SportsTeam,
dbo:artist,dbo:producer,,dbo:Album,dbo:MusicalWork,dbo:Work,dbo:Agent,dbo:Agent,
dbo:musicalBand,dbo:artist,dbo:Single,dbo:Album,dbo:Single,dbo:MusicalWork,dbo:Band,dbo:Agent,
dbo:musicalArtist,dbo:artist,dbo:Single,dbo:Album,dbo:Single,dbo:MusicalWork,dbo:MusicalArtist,dbo:Agent,
