dbo:railwayPlatforms,dbo:fareZone,,dbo:MetroStation,dbo:Station,dbo:Station,xsd:string,xsd:string
dbo:isoCodeRegion,dbo:isoCode,,dbo:Province,dbo:Settlement,dbo:Place,xsd:string,xsd:string
dbo:productionStartYear,dbo:modelEndYear,dbo:Automobile,dbo:Automobile,,dbo:MeanOfTransportation,xsd:gYear,xsd:gYear
dbo:uciCode,dbo:code,dbo:CyclingTeam,dbo:CyclingTeam,dbo:CyclingTeam,,xsd:string,xsd:string
dbo:foundingYear,dbo:formationYear,,dbo:Company,,dbo:Organisation,xsd:gYear,xsd:gYear
dbo:serviceEndYear,dbo:serviceStartYear,dbo:MilitaryPerson,dbo:MilitaryPerson,dbo:MilitaryPerson,dbo:MilitaryPerson,xsd:gYear,xsd:gYear
dbo:runtime,dbo:playingTime,,dbo:Single,dbo:Work,,xsd:double,xsd:double
dbo:height,dbo:goalsInLeague,,dbo:SoccerPlayer,,dbo:SoccerPlayer,xsd:double,xsd:nonNegativeInteger
dbo:extinctionYear,dbo:activeYearsEndYear,,dbo:Company,dbo:Species,,xsd:gYear,xsd:gYear
dbo:postalCode,dbo:inseeCode,dbo:Settlement,dbo:Municipality,,dbo:Settlement,xsd:string,xsd:string
dbo:conservationStatus,dbo:status,,dbo:Insect,dbo:Species,,xsd:string,xsd:string
dbo:inseeCode,dbo:postalCode,dbo:Settlement,dbo:Municipality,dbo:Settlement,,xsd:string,xsd:string
dbo:minimumElevation,dbo:elevation,dbo:Settlement,dbo:Municipality,dbo:Place,dbo:Place,xsd:double,xsd:double
dbo:activeYearsEndYear,dbo:deathYear,dbo:Writer,dbo:Writer,,dbo:Person,xsd:gYear,xsd:gYear
dbo:minimumElevation,dbo:populationTotal,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:double,xsd:nonNegativeInteger
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:MusicalArtist,dbo:Person,,xsd:gYear,xsd:gYear
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:MusicalArtist,,,xsd:gYear,xsd:gYear
dbo:synonym,dbo:scientificName,,dbo:Mammal,,dbo:Species,xsd:string,xsd:string
dbo:activeYearsEndYear,dbo:deathYear,dbo:Person,dbo:Person,,dbo:Person,xsd:gYear,xsd:gYear
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:Band,,,xsd:gYear,xsd:gYear
dbo:openingYear,dbo:buildingStartYear,dbo:Bridge,dbo:Bridge,,dbo:ArchitecturalStructure,xsd:gYear,xsd:gYear
dbo:elevation,dbo:populationTotal,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:double,xsd:nonNegativeInteger
dbo:casNumber,dbo:casSupplemental,dbo:Drug,dbo:Drug,,,xsd:string,xsd:string
dbo:deathYear,dbo:serviceEndYear,dbo:Person,dbo:MilitaryPerson,dbo:Person,dbo:MilitaryPerson,xsd:gYear,xsd:gYear
dbo:maximumElevation,dbo:populationTotal,dbo:Settlement,dbo:Municipality,dbo:Place,,xsd:double,xsd:nonNegativeInteger
dbo:openingYear,dbo:activeYearsStartYear,dbo:Station,dbo:RailwayStation,,,xsd:gYear,xsd:gYear
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:MusicalArtist,dbo:Person,,xsd:gYear,xsd:gYear
dbo:combatant,dbo:participant,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:Event,xsd:string,xsd:string
dbo:combatant,dbo:participant,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:Event,xsd:string,xsd:string
dbo:runtime,dbo:playingTime,dbo:Song,dbo:Single,dbo:Work,,xsd:double,xsd:double
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:Cardinal,,,xsd:gYear,xsd:gYear
dbo:openingYear,dbo:yearOfConstruction,,,,dbo:Place,xsd:gYear,xsd:gYear
dbo:activeYearsEndYear,dbo:deathYear,dbo:Person,dbo:Person,,dbo:Person,xsd:gYear,xsd:gYear
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:Cardinal,,,xsd:gYear,xsd:gYear
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:Cardinal,,,xsd:gYear,xsd:gYear
dbo:runtime,dbo:playingTime,dbo:Single,dbo:Song,dbo:Work,,xsd:double,xsd:double
dbo:rgbCoordinateGreen,dbo:rgbCoordinateBlue,dbo:Colour,dbo:Colour,dbo:Colour,dbo:Colour,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:facultySize,dbo:staff,dbo:University,dbo:University,dbo:EducationalInstitution,dbo:EducationalInstitution,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:birthYear,dbo:birthDate,dbo:Person,dbo:SoccerPlayer,dbo:Person,dbo:Person,xsd:gYear,xsd:date
dbo:rgbCoordinateBlue,dbo:rgbCoordinateGreen,dbo:Colour,dbo:Colour,dbo:Colour,dbo:Colour,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:birthYear,dbo:birthDate,dbo:Person,dbo:Actor,dbo:Person,dbo:Person,xsd:gYear,xsd:date
dbo:inseeCode,dbo:municipalityCode,dbo:Settlement,dbo:Settlement,dbo:Settlement,dbo:Place,xsd:string,xsd:string
dbo:activeYearsEndYear,dbo:activeYearsStartYear,dbo:Royalty,dbo:Monarch,,,xsd:gYear,xsd:gYear
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Monarch,dbo:Person,,xsd:gYear,xsd:gYear
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Artist,dbo:Person,,xsd:gYear,xsd:gYear
dbo:birthDate,dbo:deathDate,dbo:Economist,dbo:Person,dbo:Person,dbo:Person,xsd:date,xsd:date
dbo:openingYear,dbo:buildingStartYear,,dbo:Bridge,,dbo:ArchitecturalStructure,xsd:gYear,xsd:gYear
dbo:birthDate,dbo:birthYear,dbo:Person,dbo:Actor,dbo:Person,dbo:Person,xsd:date,xsd:gYear
dbo:numberOfTracks,dbo:numberOfLanes,dbo:RailwayLine,dbo:RailwayLine,dbo:Infrastructure,dbo:RouteOfTransportation,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:commissioningDate,dbo:introductionDate,dbo:Ship,dbo:Ship,dbo:Ship,dbo:MeanOfTransportation,xsd:date,xsd:date
dbo:openingYear,dbo:buildingStartYear,dbo:Bridge,dbo:Bridge,,dbo:ArchitecturalStructure,xsd:gYear,xsd:gYear
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Monarch,dbo:Person,,xsd:gYear,xsd:gYear
dbo:agencyStationCode,dbo:code,dbo:Station,dbo:RailwayStation,dbo:Station,,xsd:string,xsd:string
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Writer,dbo:Person,,xsd:gYear,xsd:gYear
dbo:height,dbo:length,dbo:BadmintonPlayer,dbo:BadmintonPlayer,,,xsd:double,xsd:double
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Cardinal,dbo:Person,,xsd:gYear,xsd:gYear
dbo:releaseDate,dbo:publicationDate,dbo:Book,dbo:Book,,,xsd:date,xsd:date
dbo:synonym,dbo:scientificName,,dbo:Insect,,dbo:Species,xsd:string,xsd:string
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Person,dbo:Person,,xsd:gYear,xsd:gYear
dbo:releaseDate,dbo:publicationDate,dbo:Book,dbo:Book,,,xsd:date,xsd:date
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Cardinal,dbo:Person,,xsd:gYear,xsd:gYear
dbo:commissioningDate,dbo:introductionDate,dbo:Ship,dbo:Ship,dbo:Ship,dbo:MeanOfTransportation,xsd:date,xsd:date
dbo:numberOfBronzeMedalsWon,dbo:numberOfGoldMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:numberOfGoldMedalsWon,dbo:numberOfBronzeMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:startDate,dbo:date,,dbo:Election,dbo:Event,,xsd:date,xsd:date
dbo:activeYearsStartYear,dbo:activeYearsEndYear,,dbo:Cardinal,,,xsd:gYear,xsd:gYear
dbo:runtime,dbo:playingTime,dbo:Single,dbo:Album,dbo:Work,,xsd:double,xsd:double
dbo:releaseDate,dbo:recordDate,dbo:Album,dbo:Album,,dbo:MusicalWork,xsd:date,xsd:date
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Cardinal,dbo:Person,,xsd:gYear,xsd:gYear
dbo:date,dbo:startDate,,dbo:MilitaryConflict,,dbo:Event,xsd:date,xsd:date
dbo:areaTotal,dbo:area,,dbo:Region,dbo:Place,,xsd:double,xsd:double
dbo:deathYear,dbo:deathDate,dbo:Person,dbo:Actor,dbo:Person,dbo:Person,xsd:gYear,xsd:date
dbo:numberOfSilverMedalsWon,dbo:numberOfGoldMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:hsvCoordinateSaturation,dbo:cmykCoordinateYellow,dbo:Colour,dbo:Colour,dbo:Colour,dbo:Colour,xsd:integer,xsd:integer
dbo:deathDate,dbo:deathYear,dbo:Person,dbo:Actor,dbo:Person,dbo:Person,xsd:date,xsd:gYear
dbo:birthDate,dbo:deathDate,dbo:Person,dbo:Wrestler,dbo:Person,dbo:Person,xsd:date,xsd:date
dbo:numberOfGoldMedalsWon,dbo:numberOfSilverMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:numberOfGoldMedalsWon,dbo:numberOfBronzeMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:numberOfBronzeMedalsWon,dbo:numberOfGoldMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:numberOfGoldMedalsWon,dbo:numberOfSilverMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:numberOfSilverMedalsWon,dbo:numberOfGoldMedalsWon,dbo:OlympicResult,dbo:OlympicResult,dbo:SportCompetitionResult,dbo:SportCompetitionResult,xsd:nonNegativeInteger,xsd:nonNegativeInteger
dbo:deathYear,dbo:activeYearsEndYear,dbo:Person,dbo:Writer,dbo:Person,,xsd:gYear,xsd:gYear
dbo:areaTotal,dbo:area,dbo:Country,dbo:Region,dbo:Place,,xsd:double,xsd:double
