dbo:hometown,dbo:birthPlace,dbo:MusicalArtist,dbo:Person,dbo:Agent,dbo:Person,dbo:Settlement,dbo:Place,
dbo:type,dbo:instrument,dbo:Album,dbo:Album,,dbo:Artist,,dbo:Instrument,
dbo:type,dbo:associatedMusicalArtist,dbo:Album,dbo:Album,,,,dbo:MusicalArtist,
dbo:nationality,dbo:birthPlace,dbo:Scientist,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:previousWork,dbo:associatedMusicalArtist,dbo:Album,dbo:Album,dbo:Work,,dbo:Work,dbo:MusicalArtist,
dbo:previousWork,dbo:instrument,dbo:Album,dbo:Album,dbo:Work,dbo:Artist,dbo:Work,dbo:Instrument,
dbo:subsequentWork,dbo:previousWork,dbo:Album,dbo:Album,dbo:Work,dbo:Work,dbo:Work,dbo:Work,
dbo:previousWork,dbo:subsequentWork,dbo:Album,dbo:Album,dbo:Work,dbo:Work,dbo:Work,dbo:Work,
dbo:type,dbo:producer,dbo:Album,dbo:Album,,dbo:Work,,dbo:Agent,
dbo:nationality,dbo:birthPlace,dbo:Athlete,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:producer,dbo:recordLabel,dbo:Album,dbo:Album,dbo:Work,,dbo:Agent,dbo:RecordLabel,
dbo:writer,dbo:director,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Person,dbo:Person,
dbo:producer,dbo:cinematography,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Agent,dbo:Person,
dbo:producer,dbo:writer,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Agent,dbo:Person,
dbo:subsequentWork,dbo:producer,dbo:Album,dbo:Album,dbo:Work,dbo:Work,dbo:Work,dbo:Agent,
dbo:previousWork,dbo:producer,dbo:Album,dbo:Album,dbo:Work,dbo:Work,dbo:Work,dbo:Agent,
dbo:musicComposer,dbo:editing,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:MusicalArtist,dbo:Person,
dbo:recordLabel,dbo:instrument,dbo:Album,dbo:Album,,dbo:Artist,dbo:RecordLabel,dbo:Instrument,
dbo:recordLabel,dbo:associatedMusicalArtist,dbo:Album,dbo:Album,,,dbo:RecordLabel,dbo:MusicalArtist,
dbo:parent,dbo:deathPlace,dbo:Noble,dbo:Person,dbo:Person,dbo:Person,dbo:Person,dbo:Place,
dbo:producer,dbo:director,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Agent,dbo:Person,
dbo:recordLabel,dbo:producer,dbo:Album,dbo:Album,,dbo:Work,dbo:RecordLabel,dbo:Agent,
dbo:nationality,dbo:deathPlace,dbo:Scientist,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:birthPlace,dbo:deathPlace,dbo:Scientist,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:country,dbo:riverMouth,dbo:BodyOfWater,dbo:River,,dbo:River,dbo:Country,dbo:BodyOfWater,
dbo:mouthPosition,dbo:locatedInArea,dbo:BodyOfWater,dbo:River,dbo:River,dbo:Place,geo:SpatialThing,dbo:Place,
dbo:birthPlace,dbo:deathPlace,dbo:Noble,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:producer,dbo:subsequentWork,dbo:Album,dbo:Album,dbo:Work,dbo:Work,dbo:Agent,dbo:Work,
dbo:producer,dbo:previousWork,dbo:Album,dbo:Album,dbo:Work,dbo:Work,dbo:Agent,dbo:Work,
dbo:occupation,dbo:deathPlace,dbo:Person,dbo:Person,,dbo:Person,dbo:PersonFunction,dbo:Place,
dbo:deathPlace,dbo:birthPlace,dbo:Scientist,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:producer,dbo:associatedMusicalArtist,dbo:Album,dbo:Album,dbo:Work,,dbo:Agent,dbo:MusicalArtist,
dbo:producer,dbo:instrument,dbo:Album,dbo:Album,dbo:Work,dbo:Artist,dbo:Agent,dbo:Instrument,
dbo:deathPlace,dbo:birthPlace,dbo:Noble,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:nationality,dbo:deathPlace,dbo:Person,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:writer,dbo:editing,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Person,dbo:Person,
dbo:artist,dbo:recordLabel,dbo:Album,dbo:Album,dbo:MusicalWork,,dbo:Agent,dbo:RecordLabel,
dbo:country,dbo:locatedInArea,dbo:BodyOfWater,dbo:River,,dbo:Place,dbo:Country,dbo:Place,
dbo:country,dbo:birthPlace,dbo:Cyclist,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,
dbo:producer,dbo:artist,dbo:Album,dbo:Album,dbo:Work,dbo:MusicalWork,dbo:Agent,dbo:Agent,
dbo:parent,dbo:deathPlace,dbo:Noble,dbo:Person,dbo:Person,dbo:Person,dbo:Person,dbo:Place,
dbo:producer,dbo:editing,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Agent,dbo:Person,
dbo:artist,dbo:subsequentWork,dbo:Album,dbo:Album,dbo:MusicalWork,dbo:Work,dbo:Agent,dbo:Work,
dbo:artist,dbo:previousWork,dbo:Album,dbo:Album,dbo:MusicalWork,dbo:Work,dbo:Agent,dbo:Work,
dbo:genre,dbo:previousWork,dbo:Album,dbo:Album,,dbo:Work,dbo:Genre,dbo:Work,
